epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.84317,0,61.374,0,0,0,0,0,0,132.436,0,0,0,0
2,7.19874,0,61.0244,0,0,0,0,0,0,132.261,0,1.9334e-05,1.9334e-05,1.9334e-05
3,10.8644,0,60.941,0,0,0,0,0,0,132.074,0,3.7336e-05,3.7336e-05,3.7336e-05
4,14.8895,0,60.5718,0,0,0,0,0,0,131.883,0,5.4006e-05,5.4006e-05,5.4006e-05
5,19.0733,0,60.2951,0,0,0,0,0,0,131.7,0,6.9344e-05,6.9344e-05,6.9344e-05
6,25.0924,0,59.9838,0,0,0,0,0,0,131.53,0,8.335e-05,8.335e-05,8.335e-05
7,29.3428,0,59.5501,0,0,0,0,0,0,131.383,0,9.6024e-05,9.6024e-05,9.6024e-05
8,31.7488,0,59.2681,0,0,0,0,0,0,131.246,0,0.000107366,0.000107366,0.000107366
9,33.868,0,58.9732,0,0,0,0,0,0,131.073,0,0.000117376,0.000117376,0.000117376
10,35.9476,0,58.6966,0,0,0,0,0,0,130.87,0,0.000126054,0.000126054,0.000126054
11,37.9813,0,58.2669,0,0,0,0,0,0,130.655,0,0.0001334,0.0001334,0.0001334
12,40.0922,0,57.7236,0,0,0,0,0,0,130.4,0,0.000139414,0.000139414,0.000139414
13,42.1915,0,57.5653,0,0,0,0,0,0,130.108,0,0.000144096,0.000144096,0.000144096
14,44.4481,0,57.1472,0,0,0,0,0,0,129.792,0,0.000147446,0.000147446,0.000147446
15,46.5804,0,56.5301,0,0,0,0,0,0,129.461,0,0.000149464,0.000149464,0.000149464
16,48.5886,0,56.251,0,0,0,0,0,0,129.252,0,0.00015015,0.00015015,0.00015015
17,50.7197,0,55.7758,0,0,0,0,0,0,129.218,0,0.000149504,0.000149504,0.000149504
18,52.532,0,55.5472,0,0,0,0,0,0,129.218,0,0.000147526,0.000147526,0.000147526
19,54.6076,0,55.3857,0,0,0,0,0,0,129.129,0,0.000144216,0.000144216,0.000144216
20,56.5388,0,55.0305,0,0,0,0,0,0,129.129,0,0.000139574,0.000139574,0.000139574
21,58.591,0,55.1565,0,0,0,0,0,0,128.829,0,0.0001336,0.0001336,0.0001336
22,60.5111,0,54.7525,0,0,0,0,0,0,128.829,0,0.000126294,0.000126294,0.000126294
23,62.5039,0,54.538,0,0,0,0,0,0,128.375,0,0.000117656,0.000117656,0.000117656
24,64.4578,0,54.1967,0,0,0,0,0,0,128.375,0,0.000107686,0.000107686,0.000107686
25,66.5722,0,54.3638,0,0,0,0,0,0,127.768,0,9.6384e-05,9.6384e-05,9.6384e-05
26,68.591,0,53.9465,0,0,0,0,0,0,127.768,0,8.375e-05,8.375e-05,8.375e-05
27,70.601,0,54.024,0,0,0,0,0,0,127.365,0,6.9784e-05,6.9784e-05,6.9784e-05
28,72.5548,0,53.7174,0,0,0,0,0,0,127.365,0,5.4486e-05,5.4486e-05,5.4486e-05
29,74.6499,0,53.7587,0,0,0,0,0,0,127.094,0,3.7856e-05,3.7856e-05,3.7856e-05
30,76.7593,0,53.6091,0,0,0,0,0,0,127.094,0,1.9894e-05,1.9894e-05,1.9894e-05
